Label,Type,Tags,Description,Areas de trabajo,Campos de la nano,Direccion,Provincia,Ciudad,Empresas Incubadas,Image,Linkedin,Productos y/o servicios nano,Region,Servicios,Telefono,email,location,url,web
Vetkiosk S.A.S.,Empresa,,"Vetkiosk es un dispositivo inteligente capaz de suministrar un plan nutricional basado en los requerimientos de cada animal. El productor podrá seguir de forma remota el consumo de cada uno de sus animales, su estado corporal, y evolución del peso. Se paga por la cantidad de animales que se alimentaron, sin necesidad de invertir en la compra del dispositivo. Funciona con un chip en la oreja de cada animal y una cámara especial que registra su estado corporal. Diseñamos una tecnología basada en algoritmos de alimentación, capaces de lograr el suministro adecuado para cada animal.",,,Sobremonte 80|Río Cuarto|provincia de Córdoba,Córdoba,Río Cuarto,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/ada23544-5b62-41b6-92df-8ebbce856e47.jpeg,,,,,,,"-33.117908145859836, -64.34630965690262",,
Berardo Agropecuaria SRL,Empresa,,"Somos Berardo Agropecuaria, una empresa familiar, líder en el rubro agrícola en la provincia de Entre Ríos, con sede en la ciudad de Urdinarrain. Las bases de nuestro trabajo son el conocimiento, la innovación permanente, la confianza y las buenas prácticas, llevadas adelante en los rubros agrícola, ganadero y comercial.",,,Presbitero Joannas 348|Urdinarrain|provincia de Entre Ríos,Entre Ríos,Urdinarrain,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/ad135aa9-3d89-48a3-868c-01cf102a1080.jpg,,,,,,,"-32.40992478724292, -58.89493894455388",,
Terragene S.A.,Empresa,,"Somos un proveedor líder en prevención de infecciones. Desde 2006, ofrecemos y suministramos soluciones completas como indicadores biológicos y químicos a 70 países. Crear un futuro mejor significa estar a la vanguardia de las cuestiones más apremiantes. El tiempo y la precisión son nuestros puntos fuertes. ¡Te mueves más rápido y actúas mejor cuando estás seguro!

Nuestra misión es mejorar la calidad de vida de las personas a través de la innovación constante en tecnologías aplicadas al campo de la prevención y el control de infecciones. Desarrollamos soluciones para una vida mejor y un mundo mejor.",,,Ruta Nacional N° 9 Km 280|Alvear|provincia de Santa Fe,Santa Fe,Alvear,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/3b765252-a5cd-4f52-9143-2137f5c8bd4d.png,,,,,,,"-33.07091808219034, -60.64582097096711",,
MACOMA Environmental Technologies,Empresa,,"MACOMA Environmental Technologies ha creado una solución simple y práctica mediante la utilización de principios científicos fundamentales para producir tecnologías fotocatalíticas y de reflectancia solar para mitigar la contaminación del aire, las islas de calor urbanas y el calentamiento global.

MACOMA Cool Roof, una nano pintura ecológica de reflectancia solar, reduce la temperatura del techo, las facturas de energía al disminuir las necesidades de aire acondicionado y las islas de calor urbanas.

Cien metros cuadrados de techo tratado con MACOMA Cool Roof compensan 28 toneladas de Dióxido de Carbono.

MACOMA Environmental Technologies nació con el compromiso de proteger la salud humana mediante la reducción de la contaminación del aire, los gases de efecto invernadero y el calentamiento global",,,Parque Industrial y de la Innovación|Calle 62 y 239|Posadas|provincia de Misiones,Misiones,Posadas,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/e4f3cfa9-609c-4dc9-8540-ced297f62566.jpeg,,,,,,,"-27.36839712846781, -55.99266370891517",,
AlimenSur,Empresa,,,,,Montes de Oca 203|Avellaneda|provincia de Buenos Aires,Buenos Aires,Avellaneda,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/ca5ee939-ce37-4ecd-a300-4b5b68377f85.jpg,,,,,,,"-34.65493604086663, -58.366581883485324",,
Nanosoluciones S.R.L.,Empresa,,"Desarrollamos productos nanotecnológicos para la prevención de enfermedades humanas y animales. Nuestros productos son amigables con el medio ambiente, no producen contaminaciones, son ecológicos y pueden utilizarse en áreas como la medicina, cosmética, alimentos y agropecuarias. Nos especializamos en nanopartículas plata, cobre y oro.",,,Almirante Brown 21|Leandro N. Alem|provincia de Misiones,Misiones,L. N. Alem,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/ec3de0c3-d611-42a2-ab84-75a87cf8e07c.png,,,,,,,"-27.59689675008916, -55.325723784005426",,
Panarum S.A.S.,Empresa,Empresas|Empresa,Somos una compañía de tecnología farmacéutica. Proteoral® es hoy nuestro principal producto y es el único dispositivo universal de transporte oral de proteínas terapéuticas 100% protegidas de los fluidos gastrointestinales y totalmente absorbidas al torrente sanguíneo con su actividad biológica intacta.,"**Tecnología , ciencia y salud **


Proteoral® es un producto de excelente calidad, inocuo aplicado en terapias con polipéptidos orales. Proteoral® en el mercado beneficia millones de vidas en todo el mundo.

Las áreas terapéuticas que abarca Proteoral son:

Gonadotrofinas orales: estimulan el crecimiento folicular, la ovulación, el embarazo y el nacimiento vivo y se utilizan con frecuencia en la tecnología de reproducción asistida (ART)

Insulina oral.

Anticuerpos Monoclonales orales.",,Av. Independencia 3150 C1225|Ciudad Autónoma de Buenos Aires,CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/663353/b3aa11fe-0a7a-409e-8439-1bc283f0614a.jpg,,,,,,info@panarum.com,Av. Independencia 3150 C1225 Ciudad Autónoma de Buenos Aires,https://panarum.com/,
Nanox Release Technology S.A.,Empresa,,"Nanox es una empresa de nanobiotecnología que se dedica constantemente a la investigación y el desarrollo de descubrimientos, pruebas y comercialización avanzados de fármacos nanofarmacéuticos. La empresa ha desarrollado y especializado en liposomas convencionales, liposomas pegilados y microesferas de depósito con formulaciones de PLGA (copolímeros de polilactida - poliglicólido). Estas tecnologías son aplicables a fármacos, moléculas pequeñas, péptidos y proteínas. Las actividades actuales de Nanox se han centrado en el desarrollo clínico de nanopartículas dirigidas a medicamentos en tejidos específicos con la promesa de un tratamiento progresivo y opciones terapéuticas innovadoras con alta eficacia y menos efectos secundarios para pacientes con grandes necesidades médicas no cubiertas. Como empresa de nanotecnología totalmente integrada, Nanox ofrece soluciones nanotecnológicas innovadoras, tanto en descubrimiento como en desarrollo.

El negocio principal de la compañía se centra en el desarrollo e inno...",,,Tres Arroyos 329|Morón|provincia de Buenos Aires,Buenos Aires,Morón,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/779ebfc1-9262-418e-b6cc-7f14e36cc0f7.png,,,,,,,"-34.641539116006875, -58.606768147503196",,
PILL.AR S.A.,Empresa,,Somos una startup que mejora la calidad de vida de las personas a través de la personalización de medicamentos,,,Av. Haya de la Torre S/N|Córdoba Capital|provincia de Córdoba,Córdoba,Córdoba,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/a0ffeb20-7b08-46bd-b2bd-d2b93a79d872.jpeg,,,,,,,"-31.43650178114214, -64.19403636804653",,
ERISEA S.A.,Empresa,,"Nuestro propósito es potenciar la salud humana mediante la ciencia y la biotecnología, creando antioxidantes marinos únicos, naturales y sustentables.

Desde Promarine desarrollamos -a partir de las huevas de erizo de mar no fecundadas- poderosas formulaciones antioxidantes para la industria alimenticia, logrando una excepcional biodisponibilidad de los antioxidantes y protectores inmunológicos presentes en el erizo de mar.",,,Nino Incorvay 976|Puerto Madryn|provincia de Chubut,Chubut,Puerto Madryn,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/5c651f41-1f7b-4ed3-aaed-db26b1eda6c0.jpeg,,,,,,,"-42.721535769236844, -65.03478158333984",https://promarineantioxidants.com/,
Myceliar S.A.S.,Empresa,,Investigación y desarrollo experimental en el campo de las ciencias exactas y naturales,,,Maipú 1919|Rosario|provincia de Santa Fe,Santa Fe,Rosario,,,,,,,,,"-32.96025227102321, -60.63872385087469",,
TECSCI S.A.S.,Empresa,,"Equipamiento científico de fuentes abiertas para investigación, industria y educación.",,,Av. Rodríguez Peña 2711|San Martín|provincia de Buenos Aires,Buenos Aires,San Martín,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/f31d8f2c-441b-4bb1-95b9-cb696a2aed21.jpeg,,,,,,,"-34.58209582553124, -58.51770397120767",,
Laboratorio ELEA Phoenix S.A.,Empresa,Empresas,"En Elea llevamos más de 80 años desarrollando productos, medicamentos y tratamientos para todas las especialidades médicas. Toda una vida acompañando la tuya.
Nuestra misión es impulsar la innovación permanente en el desarrollo de medicamentos de avanzada y tratamientos que eleven la calidad de vida de las personas, desde Argentina, hacia el mundo.
Nuestra visión es ser el laboratorio más presente en los hogares, comprometidos con todas las etapas de la vida de cada persona.","- Productos:
En Elea desarrollamos productos y medicamentos para todas las especialidades médicas y así poder acompañarte en todas las etapas de tu vida. Estamos presentes en cada especialidad médica, avalados por estándares internacionales de calidad y seguridad.
° Venta libre
° Cuidados primarios
° Tratamientos especiales
° Negocios globales

- Investigación:
Llevamos más de 80 años investigando y desarrollando nuevas fórmulas; siempre desafiando lo existente. Repensamos el presente para mejorar el futuro, cuidando la salud y brindando un mejor acceso.

- I+D:
Investigación y Desarrollo fue, desde nuestros comienzos, un pilar de crecimiento y fuente de identidad. Desde hace décadas el Laboratorio Elea ha priorizado los desarrollos de soluciones de alto impacto bajo modelos de asociación Público Privada, este modelo nos ha permitido asociarnos con diferentes centros de excelencia en Investigación.

- Nuestra planta:
Contamos con una de las plantas productivas más nuevas y modernas de Argentina. En nue...",,"Gral. Juan Gregorio Lemos 2809 - B1613AUE, Los Polvorines, Buenos Aires, Argentina.",Buenos Aires,Los Polvorines,,https://s3.amazonaws.com/cloud.kumu.io/accounts/263368/248108/9474a6c7-fa05-4d82-93f0-584bf4cd3888.png,,,,,(+54 11) 4489-8300 / 0800.333.3532,info@elea.com,"-34.522018380242024, -58.67978897861791",www.elea.com,
LOGROS S.A.,Empresa,,"Fundada por el Dr. Juan Carlos Grimaldi, cuya experiencia de más de 40 años ha posibilitado que la empresa se haya instaurado como líder en la industria frigorífica argentina. La planta, ubicada en Río Segundo (Córdoba), está a la vanguardia de la Industria Nacional e Internacional puesto que satisface los más altos estándares internacionales de calidad, tanto por su alto equipamiento industrial como por los excelentes Recursos Humanos que son seleccionados rigurosamente.",,,Camino San José S/N|Río Segundo|provincia de Córdoba,Córdoba,Río Segundo,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/2d967270-4392-48d6-a11c-7fcf26ef4e25.png,,,,,,,"-31.66167002866351, -63.8864599313461",,
Hybridon,Empresa,Empresas|Empresa,"Hybridon es un emprendimiento patrocinado por UNSAM, ADOX y CONICET, que tiene como objetivo desarrollar productos y tecnologías para prevenir contaminaciones e infecciones en diferentes sectores.
Con nuestro modelo de negocios B2B, tenemos como misión ayudar a nuestros clientes a incorporar nanotecnología a sus productos en sectores como: insumos de desinfección, textil, packaging y recubrimientos de alta performance.","Efecto antimicrobiano de iones metálicos. Acción residual. Protección antimicrobiana por tiempos prolongados.
Nanopartículas metálicas, nanopartículas y micropartículas de óxidos metálicos densas y porosas, materiales híbridos inorgánicos y orgánicos, micropartículas nanoporosas como carriers de nanopartículas e iones metálicos, recubrimientos antimicrobianos multisuperficies removibles y permanentes.",,Cerrito 1225 - (B1714ARE) Ituzaingó - Buenos Aires - Argentina,Buenos Aires,Ituzaingó,,https://s3.amazonaws.com/cloud.kumu.io/accounts/263368/248108/f8cd359c-628c-4930-b859-e98e63bc6bb4.png,,"**Micropartículas nanoporosas:** Estas micropartículas están compuestas por óxidos inertes y presentan la capacidad de adsorber en sus nanoporos iones metálicos de conocida actividad antimicrobiana y liberarlos de manera sostenida en el tiempo.

**Recubrimiento antimicrobiano post desinfección:** Este desarrollo se realizó en forma conjunta con nuestro primer cliente y partner, la empresa ADOX S.A. Es una dispersión liquida aplicable por spray, que contienen micropartículas nanoestructuradas adsorbidas con iones metálicos; un agente formador de film y un solvente. Al aplicarse en superficies y luego de evaporarse el solvente genera una película que retiene a las micropartículas en la superficie. Estas micropartículas liberan sostenidamente iones antimicrobianos, que evitan la proliferación de microorganismos en las superficies tratadas.

**Nanobact:** Los miembros de nuestro board de consultores científicos desarrollaron un producto líquido, que permite generar recubrimientos cerámicos permanentes nanoes...",,,(54 11) 3032-0001,infohybridon@gmail.com,Cerrito 1225 - (B1714ARE) Ituzaingó - Buenos Aires - Argentina,http://hybridon.com.ar/,
Ingeniería Clínica,Empresa,,"Somos una empresa con más de 28 años de experiencia en el sector clínico/diagnóstico nacional e internacional.

Buscamos contribuir al buen funcionamiento de los laboratorios brindando todo lo necesario para que éstos puedan dar un diagnóstico preciso en todo momento y tomar decisiones que mejoren el cuidado del paciente. Ofrecemos asesoramiento, equipamiento, insumos, soporte técnico, bioquímico y de IT bajo altos estándares de calidad.",,,Beruti 113|Campana|provincia de Buenos Aires,Buenos Aires,Campana,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/3f526332-ff32-4cea-96dd-a36f2cabdd0e.png,,,,,,,"-34.15830522879342, -58.96465245918558",,
Carl Zeiss,Empresa,Empresas|Empresa,"ZEISS contribuye desde hace más de 160 años al progreso tecnológico mundial con soluciones para las industrias de semiconductores, automovilística y de ingeniería mecánica, para la investigación biomédica, la tecnología médica así como para cristales de gafas, objetivos para fotografía y cine, prismáticos y planetarios.
La empresa surgió a partir de un taller de óptica y mecánica de precisión creado por su fundador Carl Zeiss en la ciudad de Jena, en el este de Alemania, en 1846. En la actualidad, la sede central de Carl Zeiss se encuentra en Oberkochen en el sudoeste de Alemania.
El grupo ZEISS se compone de seis grupos de negocio y varias unidades estratégicas de negocio divididas en cuatro áreas. Las unidades desarrollan, producen y distribuyen sistemas ópticos como, por ejemplo, sistemas de litografía, metrología industrial, microscopios, microscopios quirúrgicos, sistemas oftalmológicos de diagnóstico y terapéuticos, lentes oftálmicas, tecnología para planetarios, objetivos para fotografía y cine, así...","Cuatro segmentos que dan forma al progreso tecnológico:

- Semiconductor Manufacturing Technology:

Una gran proporción de todos los microchips del mundo se producen con tecnologías ópticas de ZEISS. Como líder tecnológico en el campo de equipos de fabricación de semiconductores, ZEISS hace posible la producción de microchips cada vez más potentes, eficientes energéticamente y económicos y juega, por tanto, un papel clave en la era de la microelectrónica. ● Tecnología de Semiconductores

- Research & Quality Technology:

ZEISS garantiza la calidad óptima cuando se requiere la máxima precisión: con máquinas de medición por coordenadas, software de metrología y microscopios para ciencia, investigación e inspección de materiales. ZEISS colabora garantizando que se puedan visualizar incluso las estructuras y procesos más diminutos. ● Espectroscopia. ● Metrología Industrial. ● Microscopio, software de imágenes y cámaras para microscopios. ● Servicios de desarrollo y producción.

- Medical Technology:

Con s...",,,,,,https://s3.amazonaws.com/cloud.kumu.io/accounts/261918/663353/191cde9d-5496-4059-8d49-e025f9e2b360.png,,,,,,,"-34.606300559587815, -58.38874132199266",https://www.zeiss.com.ar/corporate/contacto.html,
Trebe Biotech SRL,Empresa,,"Trebe Biotech es una startup biotecnológica centrada en el desarrollo y producción de proteínas recombinantes de alta calidad. Nuestra estrategia, basada en el uso de larvas de lepidópteros en lugar de células, aumenta la productividad y escalabilidad del sistema, reduciendo significativamente los costes de producción.

Este sistema permite altos niveles de expresión de proteínas con glicosilación y modificaciones postraduccionales, ofreciendo una alternativa de menor costo a los sistemas basados ​​en células de mamíferos sin comprometer la calidad general de las proteínas recombinantes.",,,Ruta 8 km 225.5|Pergamino|provincia de Buenos Aires,Buenos Aires,Pergamino,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/9d10c952-1e16-4c6c-bfe4-f622a3ae042a.jpeg,,,,,,,"-33.91408602620818, -60.574244311483284",,
Mycotech S.A.,Empresa,,"Ofrecemos soluciones biológicas que restablecen la salud integral de plantas y cultivos mediante un proceso natural de estimulación, nutrición y control de patógenos.

Nuestros productos son pensados y elaborados para que puedan utilizarse desde jardines hogareños y pequeñas huertas hasta actividades productivas de mediana y gran escala.

En Mycotech® trabajamos junto al sector científico y productivo mediante un intercambio permanente que promueve la investigación, desarrollo e innovación (I+D+I) de nuevas herramientas biológicas.

Buscamos que nuestras acciones se realicen logrando un equilibrio que pueda garantizar el bienestar socioeconómico de nuestra comunidad en armonía con los recursos naturales.",,,Arenales 1645 Piso 7|ciudad de Buenos Aires,CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/ddbe3362-68a6-486a-88a3-8bd93d8260bc.png,,,,,,,"-34.5942068707959, -58.3907705123826",,
Bio-Optic S.R.L.,Empresa,Empresas|Empresa,"Bio-Optic fue fundada a comienzos de 1997 con el objetivo de crear una Compañía especializada en el área de la Microscopía, Análisis de imagen y Criminalística.

Bio-Optic actualmente comercializa productos indispensables para estas áreas, como ser Microscopios Ópticos (Biológicos, Metalográficos, de Polarización, Invertidos), Microscopios Estereoscópicos, Microscopios Confocales, Refractómetros (Manuales, de Mesa, Abbe, Peltier), Sistemas de Microdisección, Ultramicrótomos, Cámaras Digitales y Software para Análisis de Imagen, Comparadores Balísticos y Sistemas de Documentología. Además ofrece asesoramiento, entrenamiento y servicio técnico.

Bio-Optic tiene como objetivo principal dar soluciones a sus clientes a través de Leica, el primer proveedor integral a nivel mundial de equipos para el área de Microscopía e Imágenes y con Compañías de primer nivel en el área de criminalística, refractometría y software de análisis. Brindando calidad, innovación y tecnología de última generación.","- Criminalística
- Ciencias de la vida
- Industria
- Clínica
- Educación
- Análisis Seminal
- Microscopía digital
- Microscopía confocal
- Sistemas especiales
- Preparación de muestras M.E.
- Sistema de imágenes
- Iluminación",,,,,,https://s3.amazonaws.com/cloud.kumu.io/accounts/263368/248108/81e8ec99-c4d5-414c-8d0c-318ef8893898.jpg,,"- Ultramicrótomos y Crío-ultramicrótomos
- Procesadores de muestras para Microscopía Electrónica por microondas
- Equipo para Microscopía de Fuerza Atómica
- Equipo para Tomografía Matricial
- Recubridores de alto vacío
- Sistemas de Crío-fracturas
- Secadoras de Punto Crítico
- Congeladores por inmersión automática
- Sistemas Thunder Cryo Clem (Microscopía de Correlación)
- Microscopios Confocales STELLARIS para Investigación
- Microscopios Confocales con interferometría para resolución vertical de 0,1 nm
- Microscopios para el procesamientos de obleas semiconductoras
- Microscopios Digitales para visualización 3D
- Sistema de análisis microestructural a través de Espectroscopía Láser
- Microscopía Confocal Raman",,"BIO-OPTIC además de ofrecer productos de alta calidad y última generación brinda un servicio de PRE y POST–VENTA integral para asegurarles a nuestros clientes en todo el país un servicio completo:
- Asesoramiento al momento de la compra.
- Mantenimiento de Equipos
- Reparación de Equipos
- Capacitación y asesoramiento tanto para la utilización de microscopios u otros equipos como para la utilización de Software.
- Tutoriales para facilitar el manejo de los Software o Programas de análisis de imágenes.",(54-11) 4791-9923 / (54-11) 5435-0175 / (54-11) 5435-0176,info@bio-optic.com,"-34.52840535627153, -58.501145274245864",www.bio-optic.com,
Nanotek,Empresa,Empresa|Incubadora,"Empresa líder en Nanotecnología aplicada, fundada el año 2006, con el objetivo de desarrollar tecnología de vanguardia en la Argentina destinada a mejorar la calidad de vida de las personas.
La nanotecnología se presenta como una alternativa para incorporar valor agregado a procesos y productos ya existentes, como así también a crear otros nuevos, incorporando características innovadoras.
El objetivo de Nanotek es propiciar y fomentar el desarrollo de una industria que incorpora los adelantos tecnológicos que ofrece la nanotecnología.
El desarrollo continuo los llevó a registrar las siguientes marcas de productos y procesos Nanotecnológicos propios:
-Soiltek ES
-Soiltek AP
-Soiltek CC
-Soiltek SA
-NanoAsepsis
-Klima Asepsis
-NanArgen
-NanoFe
-NanoKupro
-NanoOxZn",,,"78, Dardo Rocha, B1641CJB Acassuso, Provincia de Buenos Aires",Buenos Aires,Acassuso,,https://s3.amazonaws.com/cloud.kumu.io/accounts/261918/248108/603667ac-748b-4c6f-af17-923526f494d0.png,,,,"- Perfumería & Cosmética
- Pintura
- Mascotas
- Vial & Construcción",8007776266,,"-34.48093683837924, -58.50802890110928",,
Tenaris S.A.,Empresa,Empresas|Empresa,"Somos el fabricante líder de tubos y servicios relacionados para la industria de la energía del mundo y otras aplicaciones industriales. Nuestro sistema de fabricación abarca los procesos de fabricación del acero, laminado y conformado de tubos, tratamiento térmico, roscado y acabado en 16 países. También contamos con una red de I+D centrada en la mejora de nuestra cartera de productos y nuestros procesos de producción. Nuestro equipo, con base en más de 30 países de todo el mundo, está unido por la pasión y por la excelencia en todo lo que hacemos.
A través de nuestra red global integrada de instalaciones de fabricación de tubos con y sin costura, centros de servicios y centros de I+D, trabajamos con los clientes para satisfacer sus necesidades, manteniendo los más altos estándares de seguridad, calidad y desempeño.
Nuestras soluciones digitales innovadoras optimizan los procesos y aumentan la eficiencia, la seguridad y la confiabilidad en las operaciones de los clientes a través de la integración digital.",,,,,,,https://s3.amazonaws.com/cloud.kumu.io/accounts/263368/248108/9f30fb7e-97ea-4bc6-8dd9-9a0409381cee.jpg,,,,"- OCTG:
Combinamos tecnología innovadora, calidad de productos confiables y un servicio eficiente. Nuestras conexiones TenarisHydril Wedge y Blue® ofrecen una gama inigualable de productos para satisfacer las necesidades de las operaciones de perforación y completación en todas las aplicaciones. La tecnología Dopeless® es un revestimiento que se aplica a nivel industrial y simplifica la manipulación y la bajada de los tubos a la vez que minimiza la huella ambiental. En Tenaris, la innovación va más allá de la tecnología del producto: estamos transformando la cadena de suministro de productos tubulares a través de nuestra plataforma de servicios Rig Direct®. Todo esto manteniendo los más altos estándares de QHSE bajo un único sistema.

- Rig Direct®:
A través del servicio Rig Direct®, trabajamos en equipo con los clientes de la industria del petróleo y gas a lo largo de sus proyectos de perforación. El servicio comienza con la planificación del pozo, donde nuestros expertos técnicos optimizan la selecció...",,,"-34.595292605459036, -58.37191661657194",https://www.tenaris.com/es,
Ceres Demeter S.A.,Empresa,,"Nos especializamos en el desarrollo de nuevas tecnologías microbiológicas y su transferencia hacia el sector agroindustrial.

Desarrollamos nuevos conceptos microbiológicos mediante alianzas estratégicas con instituciones científicas, y empresas enfocadas en la comercialización de bioinsumos.

Somos el nexo entre la ciencia y el sector productivo.",,,RN A005|Río Cuarto|provincia de Córdoba,Córdoba,Río Cuarto,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/4ae8c6d5-cd06-4f83-b093-27618b154be0.jpeg,https://www.linkedin.com/company/ceresdemeter/,,,,,,"-33.09617682242672, -64.36750150389014",http://www.ceresdemeter.com.ar,
LiZys,Empresa,Empresas|Empresa,"LiZys S.A. fue fundada en la ciudad de San Carlos de Bariloche (Río Negro – Argentina) en el año de 2015 con capitales privados. Con fuerte énfasis en la investigación y el desarrollo, LiZys se centra en la fabricación y distribución de materiales y procesos nanotecnológicos para todo el mundo. Nuestro principal conocimiento y experiencia se enfoca en nanopartículas magnéticas y en nanomateriales magnéticos compuestos desarrollados para para distintas aplicaciones, que van desde desarrollos biomédicos (kits de diagnóstico, separación de moléculas) a remediación ambiental.",,,Luan Sur 256|San Carlos de Bariloche|provincia de Río Negro,Río Negro,Bariloche,,https://s3.amazonaws.com/cloud.kumu.io/accounts/261918/248108/d6ee1f35-4d79-4a4a-85b2-926f8a276646.png,,,,,"5,42942E+13",info@lizys.com.ar,"-41.10801528105761, -71.44199390678793",http://lizys.com.ar/,
Rasa,Empresa,Empresas|Empresa,"La empresa Indumentaria Protectiva RASA S.A. nació en 1991 como fabricante de trajes de bomberos hechos de tela. Frente a la nueva demanda de trajes de tela, la familia fundó RASA y realizó ingeniería inversa sobre productos provenientes de los EEUU: comenzaron por la producción, adaptando tecnologías ya disponibles en el mercado, para luego pasar a la investigación y el desarrollo. Actualmente RASA es uno de los 19 fabricantes de trajes de bombero de tela a nivel mundial que cuentan con una certificación internacional (National Fire Protection Association - NFPA).
Su desarrollo innovador comenzó en marzo del año 2017. Se trata de una innovación de producto, una tela modificada para trajes de bombero que permite reducir significativamente su peso manteniendo las propiedades de protección térmica. La tela para trajes de bomberos consta de capas de diversos materiales, cada una de las cuales cumple un objetivo específico como resistencia mecánica, aislación térmica y protección química.",,,Ruta 2 Km 118|Chascomús|provincia de Buenos Aires,Buenos Aires,Chascomús,,https://s3.amazonaws.com/cloud.kumu.io/accounts/261918/248108/38c811ed-4d9c-424d-a940-8b0452c2cdb4.png,,,,,"5,41146E+11",rasa@rasaprotect.com,"-35.54728065899812, -57.98619172081442",rasaprotect.com,
Promedon S.A.,Empresa,,"Nuestra Misión en Promedon es “Contribuir a restablecer la calidad de Vida de las personas, desarrollando y brindando a los profesionales de la salud tecnología médica segura y eficaz”. Esta es la razón por la que trabajamos todos los días y la razón de nuestra existencia.

Nuestra Visión es “Ser una empresa global, exitosa en todos los mercados donde opera”, y nos guía hacia donde queremos ir como organización. Es el reto que nos planteamos cuando pensamos en el futuro.",,,Av. Gral Manuel Savio L3 M3 Parque Industrial Ferreyra|Córdoba capital|provincia de Córdoba,Córdoba,Córdoba,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/7253ce00-8e35-497b-905a-7598c62c625f.png,,,,,,,"-31.465439728285606, -64.13798010442922",,
Penta S.A.,Empresa,Empresas|Empresa,"PENTA inicia sus actividades en Bahía Blanca en Diciembre de 1976, con el fin de fabricar y comercializar equipos electrónicos de control, orientándose paulatinamente hacia la fabricación de detectores de metales para control de calidad y protección de máquinas.
Una constante política de reinversión en desarrollo e innovación tecnológica le ha permitido ampliar su oferta de equipamientos, incorporando sistemas que combinan detección de metales, pesaje dinámico, dosificación y envasado.
Desde 2004 Penta es líder en el mercado argentino de detectores de metales y exporta regularmente a más de 10 países.","Industria Alimenticia
- Detección de metales
- Pesaje dinámico
- Sistemas combinados
- Sistemas de dosificación
- Soluciones especiales

Industria Minera
- Detector de metales para la industria pesada
- Automatización de procesos y optimización de layout

Industria Farmacéutica
- Detector y separador de metales para la industria farmacéutica",,"Pedro Pico 2561, (CP 8000), Bahía Blanca, Argentina.",Buenos Aires,Bahía Blanca,,https://s3.amazonaws.com/cloud.kumu.io/accounts/261918/663353/59c2496f-bddc-492c-93f3-1be3d8244b97.jpg,,,,"- Asistencia global maximizando su producción.

Sus programas preventivos están diseñados para ayudar a maximizar el tiempo de funcionamiento de los equipos de inspección y dar tranquilidad a los gerentes de fábrica, supervisores de línea y operadores. Brindan: puesta en marcha y capacitación / calibración técnica / validación operativa / programas de mantenimiento preventivo y capacitación en lugar de trabajo / concientización sobre el peligro de contaminantes metálicos y cómo controlarlos / determinación, validación y actualización de límites críticos de detección.

- Ingeniería I+D+I.

El departamento de Ingeniería de Penta cuenta con profesionales capacitados para brindar soluciones multidisciplinarias en automatización de procesos industriales para todo tipo de aplicaciones. Cada requerimiento es identificado y analizado de forma particular, como si fuera único, y a partir de ello se da comienzo a una rutina de tareas y responsabilidades que derivan en un resultado eficiente para su proceso y para s...",54 291 4550311 / 54 11 5353 9847,info@pentasa.com.ar,"Pedro Pico 2561, (CP 8000), Bahía Blanca, Argentina.",https://detectorespenta.com/index.html,
Biogénesis Bagó S.A.,Empresa,,"Somos una empresa de biotecnología especializada en el desarrollo, producción y comercialización de soluciones destinadas a la salud animal y ambiental.

Buscamos colaborar con el fortalecimiento del status sanitario de cada país, promover nuevos desarrollos productivos y asegurar el bienestar animal, humano y del ambiente. Nuestros productos están presentes en más de 60 países en América, Asia, Europa, Medio Oriente, Norte de África y Oceanía.",,,Ruta Panamericana Km 38.5|Garín|provincia de Buenos Aires,Buenos Aires,Garín,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/36acf62d-d4c2-4c6a-8217-522916445213.png,,,,,,,"-34.42418564761064, -58.71813926357605",,
Grupo Harmony,Empresa,,"Desde 1990 acercando sabores e ingredientes para la industria alimenticia y farmacéutica

Ponemos a disposición de toda la industria regional sabores, nutrientes, colorantes naturales, antioxidantes, mezclas a medida; todo un completo un portfolio de productos avalados por la ciencia y tecnología de los más importantes productores globales, Givaudan y DSM Nutritional Products.",,,Bruselas 574|ciudad de Buenos Aires,CABA,CABA,,https://s3.amazonaws.com/cloud.kumu.io/accounts/262898/248108/da78eac4-5210-49b7-a897-e3a00a8ce8fc.jpeg,,,,,,,"-34.63138535520089, -58.52213023559356",,
